Proxy,Port,Country,Organization,latency
1.212.245.124,50001,KR,LG DACOM Corporation,448ms
1.221.209.28,50002,KR,LG DACOM Corporation,447ms
1.223.51.202,50000,KR,LG DACOM Corporation,442ms
1.228.127.71,10023,KR,SK Broadband Co Ltd,444ms
1.226.148.216,50001,KR,SK Broadband Co Ltd,456ms
1.177.76.215,10026,KR,LG HelloVision Corp.,633ms
1.226.227.169,50001,KR,SK Broadband Co Ltd,469ms
1.215.12.155,50001,KR,LG DACOM Corporation,493ms
1.220.249.28,50001,KR,LG DACOM Corporation,483ms
1.228.127.71,12127,KR,SK Broadband Co Ltd,482ms
1.177.76.215,17283,KR,LG HelloVision Corp.,540ms
1.228.127.71,21266,KR,SK Broadband Co Ltd,490ms
1.177.76.215,12149,KR,LG HelloVision Corp.,577ms
1.228.127.71,12463,KR,SK Broadband Co Ltd,501ms
1.177.81.20,10243,KR,LG HelloVision Corp.,558ms
1.228.127.71,20500,KR,SK Broadband Co Ltd,512ms
1.222.81.98,50000,KR,LG DACOM Corporation,537ms
1.176.172.75,50000,KR,LG HelloVision Corp.,579ms
1.214.208.5,50000,KR,LG DACOM Corporation,593ms
176.96.138.171,8000,DE,dataforest GmbH,650ms
176.57.69.130,443,NL,Podaon SIA,672ms
176.96.138.171,14000,DE,dataforest GmbH,680ms
176.223.138.135,8443,LT,UAB Interneto vizija,761ms
176.223.138.135,2053,LT,UAB Interneto vizija,864ms
31.15.17.129,8443,NL,CGI GLOBAL LIMITED,709ms
176.223.66.5,8080,TR,Tres Teknoloji A.S.,798ms
176.223.66.48,2096,TR,Bulut DC Veri Merkezi Hizmetleri,795ms
176.223.66.48,2053,TR,Bulut DC Veri Merkezi Hizmetleri,806ms
31.15.18.11,2053,NL,CGI GLOBAL LIMITED,716ms
176.223.66.48,443,TR,Bulut DC Veri Merkezi Hizmetleri,823ms
176.223.66.48,2095,TR,Bulut DC Veri Merkezi Hizmetleri,825ms
176.223.66.48,8880,TR,Bulut DC Veri Merkezi Hizmetleri,836ms
65.87.7.163,443,US,Private Customer,716ms
31.15.17.154,443,NL,CGI GLOBAL LIMITED,782ms
31.15.18.11,8443,NL,CGI GLOBAL LIMITED,744ms
176.57.212.87,2053,NL,JSC TIMEWEB,830ms
176.57.212.236,8443,NL,JSC TIMEWEB,944ms
31.15.17.129,2053,NL,CGI GLOBAL LIMITED,916ms
66.103.211.203,10096,US,MULTACOM CORPORATION,825ms
176.57.212.87,8443,NL,JSC TIMEWEB,944ms
66.103.216.222,15000,US,Cloudflare Inc.,831ms
66.103.210.120,12815,US,MULTACOM CORPORATION,856ms
65.75.194.43,10511,US,Cloud Fabric Inc.,870ms
65.49.207.181,26443,US,IT7 Networks Inc,936ms
31.15.17.75,2053,NL,CGI GLOBAL LIMITED,1061ms
1.192.191.183,10011,CN,CHINANET HENAN PROVINCE NETWORK,1831ms
178.128.143.218,2053,NL,DigitalOcean LLC,740ms
176.98.40.196,443,NL,IROKO Networks Corporation,764ms
31.15.18.65,8443,NL,CGI GLOBAL LIMITED,768ms
178.128.161.11,443,GB,DigitalOcean LLC,772ms
176.97.74.51,2053,EE,IROKO Networks Corporation,796ms
31.15.18.56,8443,NL,CGI GLOBAL LIMITED,781ms
176.97.74.132,2053,EE,IROKO Networks Corporation,808ms
31.15.18.38,2053,NL,CGI GLOBAL LIMITED,809ms
176.97.76.144,22053,RO,IROKO Networks Corporation,814ms
176.97.76.48,2053,RO,IROKO Networks Corporation,823ms
31.15.18.56,2053,NL,CGI GLOBAL LIMITED,827ms
31.15.18.26,8443,NL,CGI GLOBAL LIMITED,820ms
176.97.76.164,22053,RO,IROKO Networks Corporation,841ms
31.15.18.65,2053,NL,CGI GLOBAL LIMITED,837ms
31.15.19.76,443,NL,IT-DELUX ltd.,825ms
31.15.19.85,443,NL,Individual Entrepreneur Ildar Gilmutdinov,831ms
31.15.19.109,2053,NL,Individual Entrepreneur Ildar Gilmutdinov,940ms
31.15.19.109,8443,NL,Individual Entrepreneur Ildar Gilmutdinov,940ms
31.15.19.180,443,NL,Individual Entrepreneur Ildar Gilmutdinov,937ms
31.15.19.199,443,NL,Individual Entrepreneur Ildar Gilmutdinov,943ms
31.15.18.26,2053,NL,CGI GLOBAL LIMITED,954ms
31.15.18.38,8443,NL,CGI GLOBAL LIMITED,967ms
31.15.18.52,8443,NL,CGI GLOBAL LIMITED,965ms
176.97.77.217,443,SE,IROKO Networks Corporation,1002ms
176.97.77.10,8443,SE,IROKO Networks Corporation,1018ms
1.232.86.168,50001,KR,SK Broadband Co Ltd,461ms
1.233.162.148,50001,KR,SK Broadband Co Ltd,466ms
1.233.64.21,50001,KR,SK Broadband Co Ltd,466ms
1.238.209.247,50001,KR,SK Broadband Co Ltd,457ms
1.237.51.17,50001,KR,SK Broadband Co Ltd,460ms
1.249.45.86,12112,KR,SK Broadband Co Ltd,449ms
1.251.255.16,50001,KR,SK Broadband Co Ltd,448ms
1.232.134.158,50001,KR,SK Broadband Co Ltd,501ms
101.235.209.154,50001,KR,HYUNDAI COMMUNICATIONS   NETWORK,451ms
1.232.134.158,50000,KR,SK Broadband Co Ltd,516ms
1.254.152.56,50001,KR,SK Broadband Co Ltd,484ms
1.255.181.62,50001,KR,SK Broadband Co Ltd,491ms
1.250.139.92,50003,KR,SK Broadband Co Ltd,517ms
1.251.170.218,50001,KR,SK Broadband Co Ltd,528ms
